source_url,subject,subject_type,relation,object,object_type,context
https://en.wikipedia.org/wiki/Queen_Victoria,Lehzen,PERSON,pension off in,1842,DATE,"After a furious row between Victoria and Albert over the issue, Lehzen was pensioned off in 1842, and Victoria's close relationship with her ended.[70]"
https://en.wikipedia.org/wiki/Queen_Victoria,Ireland,GPE,hit,1845,DATE,"In 1845, Ireland was hit by a potato blight.[76]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,label,Ireland,GPE,"In the next four years, over a million Irish people died and another million emigrated in what became known as the Great Famine.[77] In Ireland, Victoria was labelled ""The Famine Queen"".[78][79]"
https://en.wikipedia.org/wiki/Queen_Victoria,Peel,PERSON,resign in,1846,DATE,"Peel resigned in 1846, after the repeal narrowly passed, and was replaced by Lord John Russell.[84] Internationally, Victoria took a keen interest in the improvement of relations between France and Britain.[85]"
https://en.wikipedia.org/wiki/Queen_Victoria,Louis Philippe,PERSON,make reciprocal trip in,1844,DATE,"When Louis Philippe made a reciprocal trip in 1844, he became the first French king to visit a British sovereign.[87] Louis Philippe was deposed in the revolutions of 1848, and fled to exile in England.[88] At the height of a revolutionary scare in the United Kingdom in April 1848, Victoria and her family left London for the greater safety of Osborne House,[89] a private estate on the Isle of Wight that they had purchased in 1845 and redeveloped.[90]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,leave for great safety of house89 private estate on,the Isle of Wight,ORG,"When Louis Philippe made a reciprocal trip in 1844, he became the first French king to visit a British sovereign.[87] Louis Philippe was deposed in the revolutions of 1848, and fled to exile in England.[88] At the height of a revolutionary scare in the United Kingdom in April 1848, Victoria and her family left London for the greater safety of Osborne House,[89] a private estate on the Isle of Wight that they had purchased in 1845 and redeveloped.[90]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,complain to,Russell,PERSON,"Victoria complained to Russell that Palmerston sent official dispatches to foreign leaders without her knowledge, but Palmerston was retained in office and continued to act on his own initiative, despite her repeated remonstrances."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,PERSON,approach both,Derby and,ORG,"Victoria approached both Derby and Russell to form a ministry, but neither had sufficient support, and Victoria was forced to appoint Palmerston as prime minister.[99] Napoleon III, Britain's closest ally as a result of the Crimean War,[67] visited London in April 1855, and from 17 to 28 August the same year Victoria and Albert returned the visit.[100]"
https://en.wikipedia.org/wiki/Queen_Victoria,Napoleon III,PERSON,visit in,April 1855,DATE,"Victoria approached both Derby and Russell to form a ministry, but neither had sufficient support, and Victoria was forced to appoint Palmerston as prime minister.[99] Napoleon III, Britain's closest ally as a result of the Crimean War,[67] visited London in April 1855, and from 17 to 28 August the same year Victoria and Albert returned the visit.[100]"
https://en.wikipedia.org/wiki/Queen_Victoria,Napoleon III,PERSON,meet couple at,Boulogne,EVENT,Napoleon III met the couple at Boulogne and accompanied them to Paris.[101]
https://en.wikipedia.org/wiki/Queen_Victoria,Princess Victoria,LOC,be,14 years old,DATE,"They had been betrothed since September 1855, when Princess Victoria was 14 years old; the marriage was delayed by the Queen and her husband Albert until the bride was 17.[108] The Queen and Albert hoped that their daughter and son-in-law would be a liberalising influence in the enlarging Prussian state.[109] The Queen felt ""sick at heart"" to see her daughter leave England for Germany; ""It really makes me shudder"", she wrote to Princess Victoria in one of her frequent letters, ""when I look round to all your sweet, happy, unconscious sisters, and think I must give them up too – one by one."
https://en.wikipedia.org/wiki/Queen_Victoria,Princess,ORG,give birth to queen s grandchild,Wilhelm,PERSON,"Almost exactly a year later, the Princess gave birth to the Queen's first grandchild, Wilhelm, who would become the last German emperor.[67] Widowhood and isolation In March 1861, Victoria's mother died, with Victoria at her side."
https://en.wikipedia.org/wiki/Queen_Victoria,Albert,PERSON,make,November,DATE,"In November, Albert was made aware of gossip that his son had slept with the actress Nellie Clifden in Ireland.[115]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,ORG,publish book leaves from in,Highlands,GPE,"A painting by Sir Edwin Henry Landseer depicting the Queen with Brown was exhibited at the Royal Academy, and Victoria published a book, Leaves from the Journal of Our Life in the Highlands, which featured Brown prominently and in which the Queen praised him highly.[128] Palmerston died in 1865, and after a brief ministry led by Russell, Derby returned to power."
https://en.wikipedia.org/wiki/Queen_Victoria,Palmerston,PERSON,die in,1865,DATE,"A painting by Sir Edwin Henry Landseer depicting the Queen with Brown was exhibited at the Royal Academy, and Victoria published a book, Leaves from the Journal of Our Life in the Highlands, which featured Brown prominently and in which the Queen praised him highly.[128] Palmerston died in 1865, and after a brief ministry led by Russell, Derby returned to power."
https://en.wikipedia.org/wiki/Queen_Victoria,Disraeli,PERSON,push through,Parliament,ORG,"He passed the Public Worship Regulation Act 1874, which removed Catholic rituals from the Anglican liturgy and which Victoria strongly supported.[149] She preferred short, simple services, and personally considered herself more aligned with the presbyterian Church of Scotland than the episcopal Church of England.[150] Disraeli also pushed the Royal Titles Act 1876 through Parliament, so that Victoria took the title ""Empress of India"" from 1 May 1876.[151] The new title was proclaimed at the Delhi Durbar of 1 January 1877.[152]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,ORG,take title from,1 May 1876.[151,DATE,"He passed the Public Worship Regulation Act 1874, which removed Catholic rituals from the Anglican liturgy and which Victoria strongly supported.[149] She preferred short, simple services, and personally considered herself more aligned with the presbyterian Church of Scotland than the episcopal Church of England.[150] Disraeli also pushed the Royal Titles Act 1876 through Parliament, so that Victoria took the title ""Empress of India"" from 1 May 1876.[151] The new title was proclaimed at the Delhi Durbar of 1 January 1877.[152]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,fall down some stair at,Windsor,GPE,"On 17 March 1883, Victoria fell down some stairs at Windsor, which left her lame until July; she never fully recovered and was plagued with rheumatism thereafter.[165] John Brown died 10 days after her accident, and to the consternation of her private secretary,"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,inform,the day,DATE,"On the day after the first anniversary of Brown's death, Victoria was informed by telegram that her youngest son, Leopold, had died in Cannes."
https://en.wikipedia.org/wiki/Queen_Victoria,Gladstone,ORG,resign in,1885,DATE,Victoria was pleased when Gladstone resigned in 1885 after his budget was defeated.[172]
https://en.wikipedia.org/wiki/Queen_Victoria,British Empire,GPE,celebrate s,Golden Jubilee,PERSON,"In the ensuing election, Gladstone's party lost to Salisbury's and the government switched hands again.[176] Golden and Diamond Jubilees In 1887, the British Empire celebrated Victoria's Golden Jubilee."
https://en.wikipedia.org/wiki/Queen_Victoria,Gladstone,ORG,retire,1894,DATE,"In 1894, Gladstone retired and, without consulting the outgoing prime minister, Victoria appointed Lord Rosebery as prime minister.[189] His government was weak, and the following year Lord Salisbury replaced him."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,holiday in mainland,Europe,LOC,The celebration was marked by vast crowds of spectators and great outpourings of affection for the 78-year-old Queen.[195] Declining health and death Victoria regularly holidayed in mainland Europe.
https://en.wikipedia.org/wiki/Queen_Victoria,the Boer War,LOC,be so unpopular in mainland,Europe,LOC,"By April 1900, the Boer War was so unpopular in mainland Europe that her annual trip to France seemed inadvisable."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,ORG,spend at on,the Isle of Wight,LOC,"""[198] Following a custom she maintained throughout her widowhood, Victoria spent the Christmas of 1900 at Osborne House on the Isle of Wight."
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,die at on,22 January 1901,DATE,"[...] dazed, [and] confused"".[201] Her favourite pet Pomeranian, Turi, was laid on her bed as a last request.[202] Victoria died at 6:30 pm on 22 January 1901, aged 81, in the presence of her eldest son, Albert Edward, and grandson, Wilhelm II."
https://en.wikipedia.org/wiki/Queen_Victoria,Albert Edward,PERSON,succeed immediately as,Edward,PERSON,Albert Edward succeeded immediately as Edward VII.[203]
https://en.wikipedia.org/wiki/Queen_Victoria,Esher,PERSON,transcribe volume from,1832 to 1861,DATE,"In addition to Beatrice's edited copy, Lord Esher transcribed the volumes from 1832 to 1861 before Beatrice destroyed them.[217] Part of Victoria's extensive correspondence has been published in volumes edited by A. C. Benson, Hector Bolitho, George Earle Buckle, Lord Esher, Roger Fulford, and Richard Hough among others.[218] In her later years, Victoria was stout, dowdy, and about five feet (1.5 metres) tall, but she projected a grand image.[219]"
https://en.wikipedia.org/wiki/Queen_Victoria,Walter Bagehot,PERSON,write,1867,DATE,"Reforms of the voting system increased the power of the House of Commons at the expense of the House of Lords and the monarch.[226] In 1867, Walter Bagehot wrote that the monarch only retained ""the right to be consulted, the right to encourage, and the right to warn"".[227]"
https://en.wikipedia.org/wiki/Queen_Victoria,Victoria,GPE,be supreme governor of,the Church of England,ORG,"Her arms have been borne by all of her successors on the throne.[266] Family Issue Ancestry Family tree - Red borders indicate British monarchs - Bold borders indicate children of British monarchs Notes - ^ As monarch, Victoria was Supreme Governor of the Church of England."
https://en.wikipedia.org/wiki/Queen_Victoria,Kinealy,PERSON,retrieve,March 2013 - ^ Longford,DATE,"Kinealy, Christine, Private Responses to the Famine, University College Cork, archived from the original on 6 April 2013, retrieved 29 March 2013 - ^ Longford, p. 181 - ^ Kenny, Mary (2009), Crown and Shamrock: Love and Hate Between Ireland and the British Monarchy, Dublin: New Island, ISBN 978-1-905494-98-9 - ^ St Aubyn, p. 215 - ^ St Aubyn, p. 238 - ^ Longford, pp."
https://en.wikipedia.org/wiki/Queen_Victoria,The Royal Archives - ^ 1855 visit,ORG,retrieve victoria in,Paris,GPE,"357–360 - ^ Queen Victoria, ""Saturday, 18th August 1855"", Queen Victoria's Journals, vol. 40, p. 93, archived from the original on 25 November 2021, retrieved 2 June 2012 – via The Royal Archives - ^ 1855 visit of Queen Victoria, Château de Versailles, archived from the original on 11 January 2013, retrieved 29 March 2013 - ^ Queen Victoria in Paris, Royal Collection Trust, archived from the original on 29 August 2022, retrieved 29 August 2022 - ^"
https://en.wikipedia.org/wiki/Queen_Victoria,Marshall,PERSON,retrieve,August 2018 - ^ Marshall,DATE,"280–292; Marshall, p. 154 - ^ Hibbert, p. 299; St Aubyn, p. 346 - ^ St Aubyn, p. 343 - ^ e.g. Strachey, p. 306 - ^ Ridley, Jane (27 May 2017), ""Queen Victoria – burdened by grief and six-course dinners"", The Spectator, archived from the original on 28 August 2018, retrieved 28 August 2018 - ^ Marshall, pp."
https://en.wikipedia.org/wiki/Queen_Victoria,Marshall,PERSON,quote in,Longford,GPE,"405–406; Marshall, p. 184; St Aubyn, p. 434; Waller, p. 426 - ^ Waller, p. 427 - ^ Victoria's diary and letters quoted in Longford, p. 425 - ^ Victoria quoted in Longford, p. 426 - ^ Longford, pp."
https://en.wikipedia.org/wiki/Queen_Victoria,Hibbert,PERSON,see,Hibbert,PERSON,"477–478 - ^ Hibbert, p. 373; St Aubyn, p. 458 - ^ Waller, p. 433; see also Hibbert, pp."
https://en.wikipedia.org/wiki/Queen_Victoria,Queen Victoria,PERSON,retrieve,March 2013 - ^ Marshall,DATE,"460–461 - ^ Queen Victoria, Royal Household, archived from the original on 13 March 2021, retrieved 29 March 2013 - ^ Marshall, pp."
https://en.wikipedia.org/wiki/Queen_Victoria,"Genotype Analysis Identifies the Cause of the ""Royal Disease",WORK_OF_ART,identify,"Genotype Analysis Identifies the Cause of the ""Royal Disease",WORK_OF_ART,"Her Little Majesty: The Life of Queen Victoria, New York: Simon & Schuster, ISBN 0-7432-3657-2 - ^ Rogaev, Evgeny I.; Grigorenko, Anastasia P.; Faskhutdinova, Gulnaz; Kittler, Ellen L. W.; Moliaka, Yuri K. (2009), ""Genotype Analysis Identifies the Cause of the ""Royal Disease"""", Science, 326 (5954): 817, Bibcode:2009Sci...326..817R, doi:10.1126/science.1180660, ISSN 0036-8075, PMID 19815722, S2CID 206522975 - ^ Potts and Potts, pp."
https://en.wikipedia.org/wiki/Queen_Victoria,de J.M. Lara,PERSON,retrieve september,Olvera Ayes,PERSON,"Titulaires français et étrangers (in French), Paris: Archives & Culture, pp. 21, 460, 564, ISBN 978-2-35077-135-9 - ^ ""Seccion IV: Ordenes del Imperio"", Almanaque imperial para el año 1866 (in Spanish), Mexico City: Imp. de J.M. Lara, 1866, p. 244, archived from the original on 22 March 2023, retrieved 13 September 2020 - ^ Olvera Ayes, David A. (2020), ""La Orden Imperial de San Carlos"", Cuadernos del Cronista Editores, México {{cite journal}} :"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,PERSON,grant he title in,1857,DATE,Victoria granted him the title Prince Consort in 1857.
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,attend,the University of Bonn,ORG,"Like many other German princes, Albert attended the University of Bonn, where he studied law, political economy, philosophy and the history of art."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,GPE,come to throne on,20 June 1837,DATE,"Although the parties did not undertake a formal engagement, both the family and their retainers widely assumed that the match would take place.[18] Victoria came to the throne on 20 June 1837, aged 18."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,return to with in,October 1839,DATE,"Albert returned to the United Kingdom with Ernest in October 1839 to visit Victoria, with the objective of settling the marriage.[21]"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,title,the next seventeen years,DATE,"For the next seventeen years, Albert was formally titled ""HRH Prince Albert"" until, on 25 June 1857, Victoria formally granted him the title Prince Consort.[34] Victoria explained, in a letter to Lord Palmerston on 15 March 1857, that she was: ""... inclined ... to content herself by simply giving her husband by Letters Patent the title of 'Prince Consort' which can injure no one while it will give him an English title consistent with his position, & avoid his being treated by Foreign Courts as a junior Member of the house of Saxe-Coburg""."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,GPE,grant he title,Prince Consort.[34],LOC,"For the next seventeen years, Albert was formally titled ""HRH Prince Albert"" until, on 25 June 1857, Victoria formally granted him the title Prince Consort.[34] Victoria explained, in a letter to Lord Palmerston on 15 March 1857, that she was: ""... inclined ... to content herself by simply giving her husband by Letters Patent the title of 'Prince Consort' which can injure no one while it will give him an English title consistent with his position, & avoid his being treated by Foreign Courts as a junior Member of the house of Saxe-Coburg""."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,shoot at again on both,29 and 30,DATE,"Albert and Victoria were shot at again on both 29 and 30 May 1842, but were unhurt."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,rebuke,1846,DATE,"In 1846, Albert was rebuked by Lord George Bentinck when he attended the debate on the Corn Laws in the House of Commons to give tacit support to Peel.[58]"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,GPE,spend rainy holiday in west of at,Loch Laggan,FAC,"""[61] In 1847, Victoria and Albert spent a rainy holiday in the west of Scotland at Loch Laggan, but heard from their doctor, Sir James Clark, that Clark's son had enjoyed dry, sunny days farther east at Balmoral Castle."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,lease,Balmoral,GPE,"In May the following year, Albert leased Balmoral, which he had never visited."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,be president from,1843,DATE,"The Great Exhibition of 1851 arose from the annual exhibitions of the Society of Arts, of which Albert was president from 1843, and owed most of its success to his efforts to promote it.[56][74] Albert served as president of the Royal Commission for the Exhibition of 1851, and had to fight for every stage of the project.[75]"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Britain,GPE,embroil in,the Crimean War,EVENT,"By March 1854, Britain and Russia were embroiled in the Crimean War."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,arrange marriage of his daughter to prince,Frederick William,PERSON,"During the war, Albert arranged the marriage of his fourteen-year-old daughter, Victoria, to Prince Frederick William of Prussia, but Albert delayed the marriage until Victoria was seventeen."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,GPE,be,seventeen,DATE,"During the war, Albert arranged the marriage of his fourteen-year-old daughter, Victoria, to Prince Frederick William of Prussia, but Albert delayed the marriage until Victoria was seventeen."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Felix Mendelssohn,PERSON,describe,Albert,PERSON,"Felix Mendelssohn described Albert playing the Buckingham Palace organ ""so charmingly and clearly and correctly that it would have done credit to any professional""."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,GPE,visit,the Curragh Camp,ORG,"In August, Victoria and Albert visited the Curragh Camp, Ireland, where the Prince of Wales was attending army manoeuvres."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Victoria,GPE,return to,Windsor,GPE,"By November, Victoria and Albert had returned to Windsor, and the Prince of Wales had returned to Cambridge, where he was a student."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Albert,PERSON,suffer from pain in his back legs114 in,November 1861,DATE,"In his final weeks, Albert suffered from pains in his back and legs.[114] Also in November 1861, the Trent Affair—the forcible removal of Confederate envoys from a British ship, the RMS Trent, by Union forces during the American Civil War—threatened war between the United States and Britain."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,life.[139][140] Titles,ORG,style in,the months,DATE,"In the fictionalised depiction of the 1840 shooting, he is struck by a bullet, which did not happen in real life.[139][140] Titles, styles, honours and arms [edit]Titles and styles [edit]In the United Kingdom, Albert was styled ""His Serene Highness Prince Albert of Saxe-Coburg and Gotha"" in the months before his marriage.[25]"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,The National Gallery,ORG,receive painting in,1863,DATE,"The National Gallery, London, received 25 paintings in 1863 presented by Queen Victoria at the Prince Consort's wish"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Fulford 1949,ORG,quote in,Fulford 1949,ORG,"Fulford 1949, p. 255. - ^ Diary of Sir James Clark quoted in Fulford 1949, p. 256. - ^"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Liste der Ritter des Königlich Preußischen Hohen Ordens vom Schwarzen Adler,PERSON,vom in,German,NORP,"ernannte Ritter"", Liste der Ritter des Königlich Preußischen Hohen Ordens vom Schwarzen Adler (in German), Berlin: Decker, 1851, p. 22 - ^ Cibrario, Luigi (1869)."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,István Rend,PERSON,rend tagjai in,Hungarian,NORP,"ISBN 978-2-35077-135-9. - ^ ""A Szent István Rend tagjai"" (in Hungarian),"
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Prince Albert,PERSON,aid peaceful resolution of trent affair in,1861,DATE,"The Official Magazine of the Civil War Society (July 2007), 10#2 pp 48–52; how Prince Albert aided the peaceful resolution of the 'Trent' affair in 1861."
https://en.wikipedia.org/wiki/Prince_Albert_of_Saxe-Coburg_and_Gotha,Prince Albert,PERSON,archive at wayback machine prince,Albert,PERSON,"495–496. - Prince Albert (1819–1861), BBC History - UK Parliamentary Archives, Oaths of Prince Albert, Duke of Saxe, Prince of Saxe Coburg and Gotha Archived 18 April 2021 at the Wayback Machine - Prince Albert of Saxe-Coburg and Gotha - 1819 births - 1861 deaths - People from Coburg - House of Saxe-Coburg and Gotha (United Kingdom) - Princes of Saxe-Coburg and Gotha - House of Saxe-Coburg-Saalfeld - British princes - 19th-century British people - 11th Hussars officers - British field marshals - British royal consorts - German Protestants - British Protestants - Chancellors of the University of Cambridge - Emigrants from the German Confederation to the United Kingdom - Grenadier Guards officers - Honorary Fellows of the Royal Society of Edinburgh - Presidents of the Zoological Society of London - Members of the Privy Council of the United Kingdom - Presidents of the British Science Association - Queen Victoria - Scots Guards officers - University of Bonn alumni - Royal reburials - Sons of dukes - Heirs presumptive - Knights of the Garter - Knights Grand Cross of the Order of the Bath - Great Masters of the Order of the Bath - Knights of the Thistle - Knights of St Patrick - Knights Grand Cross of the Order of St Michael and St George - Knights Companion of the Order of the Star of India - Grand Crosses of the Order of Saint Stephen of Hungary - Knights of the Golden Fleece of Spain - Grand Cross of the Legion of Honour - Bailiffs Grand Cross of Honour and Devotion of the Sovereign Military Order of Malta - Grand Crosses of the Order of Aviz - Grand Crosses of the Order of Christ (Portugal) - Grand Crosses of the Order of Saint James of the Sword - Recipients of the Order of the Tower and Sword - Recipients of the Order of the White Eagle (Russia) - Recipients of the Order of St. Anna, 1st class - Recipients of the Order of the Medjidie, 1st class - Recipients of the Order of the Netherlands Lion - Members of Trinity House"
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Victoria,ORG,suffer ostracism by,Hohenzollerns,ORG,"Criticised for this attitude and for her English origins, Victoria suffered ostracism by the Hohenzollerns and the Berlin court."
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Victoria,PERSON,be empress for,only a few months,DATE,"Victoria was empress for only a few months, during which she had opportunity to influence the policy of the German Empire."
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Frederick,PERSON,return to,Germany,GPE,"After Frederick returned to Germany, he began a close correspondence with Victoria."
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Frederick,PERSON,make another trip to,Great Britain,GPE,In 1855 Prince Frederick made another trip to Great Britain and visited Victoria and her family in Scotland at Balmoral Castle.
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Victoria,GPE,be,14 years old,DATE,At the time of Frederick's second visit Victoria was 14 years old.
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Prince Albert,PERSON,take advantage of,the two years,DATE,"Eager to make his daughter the instrument of the liberalisation of Germany, Prince Albert took advantage of the two years of Victoria and Frederick's engagement to give the Princess Royal the most comprehensive training possible."
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Albert,PERSON,ask,Hohenzollerns,ORG,Prince Albert therefore asked the Hohenzollerns that his daughter could keep at least two ladies-in-waiting who were her age and of British origin.
"https://en.wikipedia.org/wiki/Victoria,_Princess_Royal",Baron von Stockmar,PERSON,ask,Prince Albert,PERSON,"Concerned about the effect of the continual maternal criticism on Victoria's psychological health, Baron von Stockmar asked Prince Albert to intervene and ask the queen to moderate her demands.[37]"
